主要基金,幣別,級別,配息,台新,陽信,臺銀,永豐,中信,兆豐,臺企,三信,瑞士,基富通,鉅亨,中租,王道,京城,一銀,彰銀,安泰,板信,華泰,上海,土銀,合庫,高雄銀,凱基銀,富邦,玉山,元富證,遠銀,國泰,華南,新光銀,統一證,凱基證,台中銀,元大銀,星展,元大證,兆豐證,群益證,富邦證,永豐金證,將來銀,好好證
四年新興市場債,南非幣,前收,年配,x,x,x,x,65300019,x,x,x,x,x,x,x,x,x,51DP,x,x,x,x,X,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,台幣,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DW,x,x,x,x,6026,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,台幣,前收,季配,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DX,x,x,x,x,6027,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,美元,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DY,x,x,x,x,6B12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,美元,前收,季配,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51DZ,x,x,x,x,6B13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,人民幣,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51EA,x,x,x,x,6B14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,人民幣,前收,季配,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51EB,x,x,x,x,6B15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,南非幣,前收,累積,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51EC,x,x,x,x,6B16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
四至六年富國債,南非幣,前收,季配,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51ED,x,x,x,x,6B17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,X
全家福,台幣,前收,累積,x,x,4851,GI2,x,33A1,6852,1551,x,FSI001,A03008,34011,21001,x,51AD,x,5801,x,4710,x,C403,7941,4509,x,x,x,FD01020,x,x,039001,0506,x,3004,x,x,917292,WMF002738,有上架,x,x,240017,有上架,X
台灣貨幣,台幣,前收,累積,x,x,4852,GI3,55300049,x,6851,1550,TW000T0310Y0,FSI004,A03012,34012,21002,x,51AY,x,5802,x,x,x,C405,7942,4510,x,0980,x,FD01021, DN18 ,x,039002,0519,x,3003,x,x,917291,WMF002737,有上架,x,x,x,有上架,X
